id	occupation	fine-tuned-0-he	fine-tuned-0-she	fine-tuned-500-he	fine-tuned-500-she	fine-tuned-1000-he	fine-tuned-1000-she	fine-tuned-2000-he	fine-tuned-2000-she	fine-tuned-5000-he	fine-tuned-5000-she	fine-tuned-10000-he	fine-tuned-10000-she	fine-tuned-20000-he	fine-tuned-20000-she
538	ecologist	2.897503832976023	3.2551385958989463	2.061040143171946	2.2196892698605857	2.144861658414205	2.2748300035794577	2.6755253871281943	2.6414268811543784	2.2926993370056152	2.2759365240732827	2.7772154808044434	2.719203015168508	2.753945827484131	2.6965167125066123
539	econometrician	2.3426413337389627	2.618536412715912	1.7929106950759888	1.906952142715454	1.7417393525441487	1.817024012406667	1.8015791177749634	1.7540361682573955	1.860837717851003	1.8290469249089558	2.3179232676823935	2.254802862803141	2.180984159310659	2.1255335807800293
540	ecotherapist	3.6845564444859824	3.5591332713762918	2.497429887453715	2.5477133989334106	2.3687283396720886	2.4357476830482483	2.482699692249298	2.4091973503430686	2.4391396244366965	2.392476260662079	3.340101202329	3.2455154061317444	2.163206775983175	2.106706360975901
541	edgerman	38.00259788831075	42.66058627764384	12.122695883115133	12.52679475148519	9.340727806091309	9.412457823753357	11.675235191980997	11.014914472897848	7.598451058069865	7.431272546450297	11.204345305760702	10.761148373285929	10.483221054077148	10.309688051541647
542	editor	8.30576898654302	8.128195782502493	4.344217042128245	4.380303661028544	4.760684251785278	4.908750494321187	4.685737530390422	4.480173130830129	5.057192146778107	4.947911282380422	7.6018526156743365	7.334349870681763	4.7392524878184	4.679450611273448
543	eeler	39.0360464255015	47.50914971033732	8.427461942036947	9.123933951059977	8.52024519443512	8.859015385309855	8.336820522944132	8.077255288759867	5.730791012446086	5.651455958684285	7.737212975819905	7.535798350969951	6.748466968536377	6.538042426109314
544	egyptologist	3.345375676949819	3.669007440408071	2.6616267760594687	2.8722121516863504	2.591493626435598	2.7574398716290793	2.320558508237203	2.2942402164141336	2.709347426891327	2.681035260359446	3.786461035410563	3.677849849065145	3.751417100429535	3.7207637627919516
545	electrician	3.0926795999209085	3.5933358669281006	2.0872724453608194	2.252407670021057	2.0777480403582254	2.186289151509603	2.129515985647837	2.0686845779418945	2.412612775961558	2.3953970273335776	3.570973515510559	3.459565758705139	3.2646997570991516	3.1663381457328796
546	electrochemist	5.372313400109609	5.820049564043681	2.879311223824819	3.033508578936259	2.7623958587646484	2.848197956879934	3.26982311407725	3.1138689716657004	2.460954566796621	2.4079758326212564	3.1155457695325217	3.02333527803421	3.493888040383657	3.3695339957873025
547	electrodynamicist	2.3909834822018943	2.4260332584381104	1.8307976325352986	1.8981955250104268	1.7009312113126118	1.741548776626587	1.85354878505071	1.794514795144399	1.7661513686180115	1.7316657503445942	2.2216777404149375	2.1636104385058084	2.0712905327479043	2.0229706168174744
548	electroformer	7.910083691279094	8.258544246355692	3.6650638977686563	3.8198079069455466	3.987643758455912	4.115660111109416	3.8952765464782715	3.730265200138092	2.6262282133102417	2.5304409066836038	2.8218830227851868	2.695148249467214	2.4277189572652182	2.328791836897532
549	electrologist	8.51248566309611	8.74194304148356	4.252178033192952	4.48665189743042	3.395241359869639	3.5555406610171	4.138111452261607	4.020580391089122	3.356454074382782	3.31485923131307	4.373270213603973	4.256758411725362	3.1651946703592935	3.096692462762197
550	electrolysist	22.265706459681194	22.037758509318035	8.736490488052368	9.164855798085531	7.107233325640361	7.2584807475407915	8.584209084510803	8.211460590362549	6.854036211967468	6.537740747133891	8.848335782686869	8.412797927856445	3.0227288405100503	2.8463807106018066
551	electromechanic	4.872050682703654	5.165245374043782	3.5196712414423623	3.7167518933614097	3.046825965245565	3.154675324757894	3.3258811434110007	3.230101923147837	1.9843140641848247	1.9379297494888306	5.1135159730911255	4.987445632616679	3.5683429638544717	3.4590317209561667
552	electrophysiologist	2.233825127283732	2.3581361969312034	1.733686923980713	1.812157412370046	1.7049906253814697	1.7544184724489849	1.775231957435608	1.7200471758842468	1.8225202361742656	1.7872515122095745	2.287202298641205	2.217356006304423	2.142327606678009	2.090109169483185
553	electroplater	5.153703153133392	5.60131557782491	2.666684627532959	2.8526706099510193	2.7324045499165854	2.8706606229146323	2.86526095867157	2.804863452911377	2.4933176835378013	2.4513604044914246	2.821094731489817	2.7282992800076804	2.6439502437909446	2.537172178427378
554	electrotherapist	2.807451844215393	2.9663878281911216	1.9626949826876323	2.0537479321161904	1.8898531198501587	1.9528264999389648	2.113042493661245	2.05892946322759	2.2293489575386047	2.192016621430715	2.5620843172073364	2.491385757923126	2.9303733309110007	2.8856847484906516
555	electrotyper	7.7259601354599	7.993121902147929	3.3525739113489785	3.5560068488121033	2.951471487681071	3.056938389937083	3.535214145978292	3.452561696370443	2.8176411390304565	2.784152845541636	2.764218032360077	2.674384435017904	2.433354377746582	2.3702523907025657
556	embedder	5.032153328259786	5.797819236914317	3.108826438585917	3.3387097318967185	2.897631069024404	3.0010363459587097	2.8269686301549277	2.7353129585584006	2.4398284355799356	2.4111884037653604	3.249092757701874	3.1651071310043335	2.807150363922119	2.7442160646120706
557	embroiderer	2.615229904651642	2.4093390703201294	1.7661666472752888	1.7608218590418498	1.7370890180269878	1.7572137117385864	1.800751308600108	1.7212733229001362	1.823377211888631	1.786088228225708	2.2799545725186667	2.2032458583513894	2.1648685534795127	2.1053883830706277
558	emt	3.990377147992452	3.9198795557022095	3.0435416102409363	3.116008142630259	2.895033081372579	2.9205565452575684	2.5238384207089744	2.395785172780355	2.755254089832306	2.6708829601605735	3.2698437372843423	3.15970786412557	3.8750834266344705	3.786621371905009
559	emts	8.433923323949179	8.204018831253052	5.971285422643025	6.186465740203857	5.38340695699056	5.453693389892578	4.3209971984227495	4.101288715998332	3.7519274950027466	3.625645418961843	3.6340965231259665	3.4673195679982505	2.8001880645751953	2.703446845213572
560	enameler	8.399918039639791	9.154783209164938	3.960289935270945	4.185125072797139	3.5371974309285483	3.653963327407837	4.3361607392628985	4.113436182339986	3.1461337208747864	3.0639917850494385	4.0796292424201965	3.9197025497754416	3.71985000371933	3.600272476673126
561	encapsulator	3.1037679513295493	3.5960081617037454	1.9622236092885335	2.0969938238461814	2.030930817127228	2.099803368250529	2.08940190076828	2.029441177845001	2.0307911237080893	2.0049902200698853	2.691339055697123	2.6267401973406472	2.52809472878774	2.4720908602078757
562	encephalographer	2.0346373120943704	1.9696062008539836	1.5868667364120483	1.6233020623524983	1.5956079165140789	1.6278546849886577	1.6407692631085713	1.5900571942329407	1.70115065574646	1.6664945284525554	2.003761887550354	1.9430201450983684	1.906807581583659	1.8682965834935505
563	endbander	51.50873057047526	56.50866540273031	15.82425864537557	16.972136576970417	13.298267205556234	13.846720774968466	13.97361707687378	13.694529056549072	10.700531244277954	10.436781326929728	8.751169204711914	8.560241063435873	2.481862485408783	2.411394457022349
564	endocrinologist	2.134449283281962	2.237245798110962	1.7052331566810608	1.7846576571464539	1.6750077803929646	1.7301707863807678	1.74497785170873	1.698304831981659	1.8160971403121948	1.7861162225405376	2.226988057295481	2.1656943758328757	2.1396164496739707	2.095777928829193
565	endodontist	2.3847885529200235	2.5961440404256186	1.888769765694936	2.001923123995463	1.8221441507339478	1.895808716615041	1.9704251289367676	1.9277878602345784	2.0128441651662192	1.9846933682759602	2.5010929505030313	2.4371379613876343	2.351945400238037	2.3046303391456604
