word	gender_class_00	gender_class_01	gender_class_02	gender_class_03	gender_class_04	gender_class_05	gender_class_06	gender_class_07	gender_class_08	gender_class_09	gender_class_10	gender_class_11	gender_class_12	gender_spectrum_00	gender_spectrum_01	gender_spectrum_02	gender_spectrum_03	gender_spectrum_04	gender_spectrum_05	gender_spectrum_06	gender_spectrum_07	gender_spectrum_08	gender_spectrum_09	gender_spectrum_10	gender_spectrum_11	gender_spectrum_12	gender_relevance_00	gender_relevance_01	gender_relevance_02	gender_relevance_03	gender_relevance_04	gender_relevance_05	gender_relevance_06	gender_relevance_07	gender_relevance_08	gender_relevance_09	gender_relevance_10	gender_relevance_11	gender_relevance_12
bufferer	1	2	2	2	2	1	1	1	1	1	2	1	2	-5.650599628686905	4.113668065518141	4.323116824030876	3.8706837706267834	4.640772916376591	-3.598670296370983	-4.849232941865921	-5.273775640875101	-3.305203067138791	-4.403324492275715	5.40293522272259	-5.210960581898689	2.417941093444824	0.3371232307516039	0.2622417393657896	0.7749006420929672	0.25114643704015893	0.5559152976210628	0.5014571359080047	0.28326528726277467	0.8523466930897148	0.7256755944176432	0.8560865933933984	0.3168237076171849	0.4900178308598697	0.29491730271415273
buggyman	1	1	1	1	1	1	1	1	2	1	1	1	2	-5.972427845001221	-3.8546585477888584	-4.673954255878925	-3.756859531160444	-3.6693114303052425	-5.252467833459377	-4.51059065759182	-3.9878016747534275	2.759028734639287	-3.955536514520645	-5.281328878365457	-4.885924287140369	3.6393013522028923	0.3283823913554587	0.49488485149211353	0.43582533844909466	0.4752153039395393	0.6221412867307663	0.650409215866817	0.27700063654858814	0.2569895517770891	0.47269819638667965	0.741237757322581	0.18381246688357764	0.2674914686358534	0.4471773668615655
bulker	1	1	2	1	2	1	1	1	1	1	2	1	1	-5.855694055557251	-4.01275135204196	3.889389082789421	-3.38085350766778	4.521242324262857	-4.24528530985117	-6.031873870640993	-5.975862797349691	-3.477272452786565	-4.835639625787735	5.42139299120754	-5.203732177615166	-2.913334883749485	0.2133825132638098	0.04673298696676891	0.605391291568885	0.3404081943672854	0.3182930213000093	0.5683925525231996	0.1128773746602981	0.7320411920202552	0.8149604510802491	1.0041150183781336	0.4328618107774814	0.5500687889289111	0.23856623085228712
bulldogger	1	1	2	2	1	2	1	2	1	1	2	1	1	-6.457535430788994	-4.582926843315363	5.070275995880365	3.549079116433859	-3.4988652542233467	4.9696062952280045	-3.9394925385713577	5.508996833115816	-2.3365272227674723	-4.293570019304752	5.209178359247744	-5.1091811284422874	-3.692181944847107	0.15645491886174398	0.20624772210915887	0.6558560440364557	0.6357326343707688	0.3932810867205262	0.3954662523469151	0.31463630792571606	0.594374228462025	0.2793715069274525	0.3635961548724901	0.3904213706996362	0.3010364120127633	0.47123155805406036
bumboater	1	2	2	1	1	1	1	1	1	1	2	1	1	-3.754391096532345	2.525691870599985	4.417503515258431	-2.847881082445383	-4.503523293882608	-4.540388874709606	-4.9680811539292336	-3.6289448477327824	-2.9225271362811327	-4.062642432749271	4.932056440971792	-5.0249176397919655	-3.121557556092739	0.27542409166501514	0.23919560801651749	0.7317606336465388	0.26110036553932237	0.17886368286396775	0.5598037467472983	0.1075709163280586	0.4019408264231903	0.6072436971958979	0.7284198367401311	0.29066700429627385	0.47863828018307686	0.34347270895446924
bundler	1	1	2	2	1	1	2	2	1	1	1	1	2	-5.41936918348074	-4.103612493723631	4.717116713523865	5.110262349247932	-4.757324945181608	-4.678641848266125	4.379154592752457	5.31545115634799	-3.531729595735669	-3.9396643713116646	-4.603736183606088	-4.320113450288773	2.8526192754507065	0.18904579907197447	0.12562145044406256	1.0843452466673509	0.3930490995053905	0.8876543191926819	0.35973853313423665	0.5315364759462714	0.6018261740605036	0.4817324746530373	0.6180333354162133	0.27310932460086473	0.21307020133826882	0.3940071695699142
burlapper	1	1	2	2	1	2	1	1	2	1	2	1	1	-4.748839013278484	-3.404931027442217	5.653212338685989	3.670423861593008	-4.428160842508078	4.65195194631815	-5.369739964604378	-4.457206893712282	2.5163579005748034	-2.8032462149858475	5.73656324390322	-3.832281745970249	-3.8538306578993797	0.1791456875036515	0.4302584007382393	0.794361861491259	0.12946551013086643	0.2622625459517752	0.2766585498264291	0.38348109492805604	0.24782545402370118	0.33973664635822776	0.4445715015867483	0.11824039206188308	0.17047666158759966	0.240625473195231
burnisher	1	1	1	1	2	1	1	1	2	1	2	1	1	-6.394247114658356	-3.024660211056471	-4.302976820617914	-3.2933316230773926	4.059536647051573	-3.2588401287794113	-6.116445496678352	-5.141030665487051	3.093475641682744	-3.181779596954584	5.526985204778612	-4.64923071116209	-3.9838146418333054	0.2777443643274998	0.18478369112643936	0.4736197020103048	0.3555731510261556	0.187999202311039	0.30764886857675205	0.21430930270122098	0.20300791175967015	0.4082429995347848	0.41582215727995275	0.3535652671229702	0.19325200538150966	0.25501905158943644
bursar	1	2	2	2	1	1	2	2	2	1	2	1	2	-4.88229862973094	2.885554175823927	5.736622929573059	3.36957436427474	-4.074465397745371	-3.7496979758143425	4.636783627443947	4.16467123106122	2.866490127518773	-4.476315446197987	5.445899209938943	-4.561370059847832	2.711524300277233	0.15133950301364715	0.2766246071292295	1.0405791881201152	0.3009319271683901	0.6034810185964617	0.42492200441890543	0.25757776697736406	0.39281140229216327	0.7840555238001276	0.7097068583382213	0.427065098491023	0.5776812764815986	0.28461739381814344
busboy	1	1	1	2	2	1	1	2	1	1	2	1	2	-5.187050744891167	-3.235593255609274	-4.789769306778908	4.397408049553633	3.3586760349571705	-3.2924342676997185	-4.504492878913879	3.980174943804741	-2.482931675389409	-3.6955833584070206	5.551634392701089	-4.906457901000977	2.6305726692080498	0.14635069475671836	0.11519788453976315	0.6116411612792448	0.9691084305124058	0.5012845582195691	0.5953460559625217	0.21778459462274657	0.6512515335723206	0.5659503845068126	0.6412591564137003	0.2066675801502076	0.3928807001793757	0.22042596306313167
busgirl	1	2	2	2	2	2	2	1	2	1	2	1	2	-4.840167090296745	4.2082945220172405	4.49554468691349	4.647529866546392	3.694030299782753	4.204674031585455	4.704267263412476	-3.8539849556982517	3.0266030710190535	-3.3428508266806602	5.203639260493219	-4.168804109096527	3.1490176767110825	0.6489218835911108	0.5669828462931844	0.36874480495502904	0.9677225496567838	0.2861337494903377	0.28827873861177283	0.40204020635564613	0.646750568791672	0.17900006219501544	0.3207962974517242	0.3286844256792277	0.24199034739285707	0.36444221942366417
bushler	1	1	2	2	2	1	1	2	1	1	2	1	1	-5.632644459605217	-3.801160652190447	4.926556274294853	3.5251921601593494	4.051527697592974	-3.069780722260475	-5.5674305856227875	5.043310198932886	-3.0545947421342134	-3.494466111063957	5.749439022503793	-4.733377680182457	-2.679517239332199	0.3992927025412284	0.41931641391581964	1.3244481352450965	0.6883410069752823	0.22165321984461375	0.33538615243487463	0.33623935307922037	0.43580769863393576	0.36818640840637107	0.4656923174339792	0.37383709433468393	0.5047137641813606	0.3168101193761075
busperson	1	1	1	2	1	1	1	2	2	1	2	1	2	-4.992036387324333	-3.5030549205839634	-4.5073291808366776	3.8694530986249447	-3.2494175247848034	-3.835441492497921	-4.803549095988274	4.255729624070227	2.9854147750884295	-3.099088102579117	5.094667428173125	-4.498555406928062	2.5516099855303764	0.1763773595781199	0.31550820937587154	0.324937691131394	0.8476302895200002	0.35303589063031326	0.2334583543620452	0.07523545621473429	0.5046044327594617	0.5479764308962789	0.7240750415428826	0.2874478071334021	0.2782734252978116	0.21682413005745493
busser	2	1	1	2	2	1	1	2	2	1	2	1	1	3.6628202497959137	-3.0735199488699436	-4.268293097615242	3.555727418512106	3.6342810727655888	-3.7571617290377617	-5.248898953199387	5.046622220426798	3.2515626531094313	-2.7682143300771713	6.215193531475961	-4.364432662725449	-3.3240313678979874	0.3980833340110997	0.6638340012480816	0.3522398225980483	0.7487775914735728	0.3886107935437134	0.5665214346433278	0.07744804965146225	0.6632336980214826	0.40946947403755785	0.6030383892681288	0.4064560664723618	0.1400318396044895	0.22157441211174
butcher	1	1	1	1	2	2	1	2	2	2	2	2	1	-4.641775771975517	-4.230225879698992	-6.575628310441971	-2.9096879325807095	4.34243593737483	3.681403525173664	-3.764770247042179	5.453256074339151	2.5475448202341795	2.670000273734331	4.585798231884837	4.25463379919529	-2.881095577031374	0.34324470272967744	0.17981123862167203	0.5033391909582632	0.86710877310146	0.49612492706094474	0.3190373872823838	0.35481370200391205	0.6739513549539778	0.2709349667900926	0.39305035756981893	0.20748363873826595	0.2925976411206648	0.24121206389232114
