id, layer-00, rank-00, layer-01, rank-01, layer-02, rank-02, layer-03, rank-03, layer-04, rank-04, layer-05, rank-05, layer-06, rank-06, layer-07, rank-07, layer-08, rank-08, layer-09, rank-09, layer-10, rank-10, layer-11, rank-11, layer-12, rank-12
12, 0.01412807766673113, 0.0030416110454411192, 0.0005706561946086877, 6.638137397430495e-05, 0.0061394492549907, 0.00021984775066027766, 0.00015515507400346986, 0.0005470815726157281, 0.0003309573414250659, 0.006350108456508954, 0.003099384833663582, 0.01694440791425536, 0.039273675682699426, 334.0, 653.0, 731.0, 36.0, 544.0, 47.0, 748.0, 638.0, 416.0, 349.0, 673.0, 449.0, 460.0
13, 0.014437604158390896, 0.013122097076857854, 0.007477049063512912, 0.012304562103556052, 0.025492483960551645, 0.022481144816934803, 0.027699512294629927, 0.021626593509757628, 0.017658841343706915, 0.012184904602962976, 0.02425120333976713, 0.030648373834638087, 0.04941565436187537, 482.0, 441.0, 285.0, 253.0, 345.0, 599.0, 755.0, 482.0, 662.0, 404.0, 173.0, 581.0, 709.0
14, 0.024347897943308817, 0.011311855900158086, 0.01502862698272125, 0.026040809012637146, 0.02879485788082512, 0.023115943497003952, 0.02546664234374404, 0.023958781474191098, 0.011237230734668889, 0.02626286568834064, 0.06158551170314842, 0.08233398039760342, 0.10406492635829863, 757.0, 537.0, 11.0, 147.0, 253.0, 175.0, 405.0, 484.0, 638.0, 649.0, 165.0, 628.0, 726.0
15, 0.011159264695399034, 0.004938093603647542, 0.008373063124478162, 0.005103981066874034, 0.0064363036635472, 0.02144025826266137, 0.012309132054895467, 0.012467473962007121, 0.015824319035968, 0.019671772078007996, 0.024135464501635864, 0.006244202329002661, 0.05945680810193029, 306.0, 296.0, 323.0, 271.0, 113.0, 649.0, 266.0, 544.0, 151.0, 405.0, 10.0, 401.0, 409.0
16, 0.026689983586166276, 0.003983872098059384, 0.006152602233795781, 0.009139589303275263, 0.011365820148895025, 0.007948819163131315, 0.0019366525523533574, 0.003948638211075133, 0.0008053545271685633, 0.003609508762149262, 0.013097901385431945, 0.012927609607503466, 0.0034807523881181597, 496.0, 415.0, 334.0, 83.0, 117.0, 541.0, 606.0, 524.0, 124.0, 639.0, 545.0, 36.0, 147.0
17, 0.028038644960134664, 0.016672720402002145, 0.025460045517515042, 0.026646428640459092, 0.04605873476479311, 0.043884164447310234, 0.03270537971892456, 0.02797509327451906, 0.02177030346193368, 0.007852267838705733, 0.009039668343362383, 0.017576018072820176, 0.024689472724593348, 175.0, 320.0, 320.0, 132.0, 756.0, 274.0, 507.0, 57.0, 722.0, 496.0, 269.0, 257.0, 525.0
18, 0.006532966068464646, 0.012857004166640406, 0.021233811337307323, 0.01283703000418103, 0.008704085788139682, 0.01651767959820899, 0.022869579425721605, 0.013813462601215217, 0.012760701118940915, 0.013022751551365223, 0.0015853232237114535, 0.006329619925715552, 0.021143319607206137, 688.0, 375.0, 737.0, 632.0, 581.0, 301.0, 444.0, 12.0, 542.0, 552.0, 635.0, 344.0, 128.0
19, 0.0024880782359488506, 0.013908899087687023, 0.0003471431846551758, 0.005326019100912358, 0.00218038307278814, 0.0013018286980776633, 0.0032921223023788353, 0.004318043131209021, 0.004475047247862603, 0.0002228171347266293, 0.005048377802903533, 0.012179335378985634, 0.015564258389926951, 366.0, 683.0, 626.0, 759.0, 317.0, 647.0, 626.0, 496.0, 581.0, 297.0, 447.0, 548.0, 98.0
20, 0.006403869149784725, 0.013214358515581545, 0.0031094905844538633, 0.016746202435865686, 0.016997536219305217, 0.012591727247786243, 0.012326722004805455, 0.015107129447824896, 0.01666650771691154, 0.041598358251263956, 0.028955619315999916, 0.018251936799054572, 0.015928452855572636, 136.0, 626.0, 19.0, 357.0, 484.0, 598.0, 430.0, 132.0, 756.0, 34.0, 259.0, 712.0, 712.0
21, 0.02007192073244971, 0.0006223470152715909, 0.0025764873257296986, 0.007813480897110765, 0.006921514689853784, 0.006237619577774996, 0.003150646749777185, 0.012480997925507845, 0.02154923162856472, 0.03491889730380067, 0.02056071679242678, 0.02233259905844922, 0.038557666441328346, 314.0, 199.0, 83.0, 231.0, 488.0, 48.0, 357.0, 714.0, 16.0, 201.0, 122.0, 352.0, 685.0
