word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
admeasurer, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, -6.17507994081825, -8.057022047461942, 8.495212275534868, 8.579290628433228, -6.997577961534262, -6.621883684769273, -6.695332934614271, 7.845509484410286, -4.971826054155827, -5.631787503603846, -8.332767866551876, -4.721717223525047, 4.626351594924927, 0.20119415970385165, 0.18166532060388185, 0.4656931017121363, 0.2328188027236448, 0.5286423946108834, 0.29994962523534163, 0.4589223886142927, 0.4654174793776716, 0.3691348375332642, 0.2810621806224689, 0.3893084740828574, 0.280132462848779, 0.37682543525359063
administrator, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 6.53957509342581, -6.477467611664906, 8.205287981778383, 6.72943427041173, -6.554635528475046, 7.444013906642795, 6.332806379999965, -9.326111326925457, -4.38502000272274, -5.533496832009405, 6.037190625444055, 5.145845651626587, -6.562720262445509, 0.7712492955918088, 0.682860243931051, 0.6266630704902049, 0.5718461388360825, 0.733737885463374, 0.6437110270028764, 0.8747650741581052, 1.245462845400234, 0.460239314564668, 0.5280384787191134, 0.5455642885372773, 0.6389150139215563, 0.27916439154096423
advertiser, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, -6.181186537258327, 7.859382470371202, 7.836412165313959, -6.69736235588789, 5.9226985685527325, -6.146536840125918, 8.30500610684976, 7.7175983265042305, 5.370951160788536, 6.111565751489252, -10.744052313268185, 6.670616790652275, -4.87718371860683, 0.15652434611743882, 0.25140844481694685, 0.5023811824341328, 0.5431595386946457, 0.7073123680642439, 0.6289576602849604, 0.7488974954213866, 0.3163501409920001, 0.6086201603084609, 0.6840971862837787, 0.6113052815474593, 0.3945380630803641, 0.22074990816916937
advisor, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, -6.41520257294178, -7.781235286267474, 6.835424873046577, 5.858508192002773, -4.079777694307268, 8.206788090988994, -4.9707584087736905, -7.940589574165642, 4.665976636111736, -5.358656133059412, 4.936585955321789, -3.833028942346573, 6.531404915265739, 0.23889323677405455, 0.2963676651568812, 0.200253009400505, 0.6160509127303486, 0.49160641956288587, 0.39775056775959144, 0.5688475017104742, 1.0898407931875203, 0.4149806489610138, 0.37542071784356684, 0.42428070765969134, 0.4529815346009267, 0.19424667381770216
aerodynamicist, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, -4.6255258889868855, 8.486923399148509, 7.0289394785650074, 7.3835717514157295, -7.644592504948378, 8.198810452595353, 7.401160081382841, 7.703271150588989, -6.449271343648434, 4.516710283700377, -7.827826045453548, -6.310014575719833, -7.0390703827142715, 0.33723918350395365, 0.34862825966675454, 0.3022124169278051, 0.3782566016442762, 0.5611994144378434, 0.6152692642244979, 0.9054488110994484, 0.6942391162000668, 0.5497916582718649, 0.25939223739244704, 0.3536931893639135, 0.2183720384560482, 0.44437081778088233
aerographer, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, -6.102506629191339, -9.99807587522082, 7.706061851233244, -8.369194813072681, -7.024774093180895, -7.890251545235515, 6.81140769040212, 7.070450238883495, -4.534162428230047, -5.76074888324365, 9.662016287446022, 6.764252752065659, -5.505512282252312, 0.18798158047021696, 0.3250316295634176, 0.44640720345345863, 0.5428004358658132, 0.46717097397586005, 0.442870920197823, 0.5765019419542132, 0.6760568759791382, 0.5994467661753122, 0.23763289521279207, 0.37324161879920725, 0.33480316758532813, 0.36621492542472533
aerologist, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, -6.7938690623268485, 9.224636336090043, -8.406717341393232, -9.366238601505756, -7.8433039747178555, -7.90482117049396, -6.383487795945257, 6.323863685131073, -5.1571280136704445, -5.3125327355228364, -8.639362938702106, 6.182136885821819, -6.061657182872295, 0.240321816629622, 0.20906870844278266, 0.49075327496437415, 0.6667556773685196, 0.5904963542862924, 0.4883989262650067, 0.7280499880659779, 0.7716770955554403, 0.7506652157617271, 0.23540759181877954, 0.24249322835294956, 0.3289744108568716, 0.28379798843871995
aerophysicist, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, -6.1998352175578475, -9.203820715425536, 8.92338815703988, 7.770442493259907, -5.993822369724512, -7.739829497411847, -7.860281234141439, 8.579599406570196, -4.763420894742012, -5.69005878502503, 9.677824918180704, -6.738897815346718, -5.129769384860992, 0.188556432658227, 0.2917418754972616, 0.37020225380606997, 0.3223383199211101, 0.5458400973824555, 0.22415206445245478, 0.33228247749556006, 0.35464935727996205, 0.4558468143822209, 0.4789855395111284, 0.3503722528520767, 0.29034206004925267, 0.2625106226859086
aesthetician, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, -6.047332362271845, 7.265106956241652, 6.535011310130358, 7.454960125032812, -4.9511185102164745, 7.210677398368716, -6.329163183923811, -7.836448606103659, -4.48777262121439, -5.003477098885924, 5.979062583297491, -5.772963143885136, -6.100502595305443, 0.3866150388161321, 0.6436011908534234, 0.5936867989359432, 0.2085506111854685, 0.39660052429578085, 0.34410310095159, 0.5210517391530501, 0.29224221505674675, 0.3797117774798787, 0.33253097127929376, 0.3354878123092896, 0.2833099489287999, 0.2996142571834412
afterschool, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, -5.228029063902795, -6.623981651151553, 6.854777071624994, -7.267748028039932, -6.682749379426241, -4.927520724013448, -5.796039263252169, 7.668463997542858, -7.081978917121887, -6.5517464079894125, -6.824267026036978, -7.354621767997742, -6.496377035975456, 0.27913460995871997, 0.27022262563364846, 0.2950185964287973, 0.5944687202014962, 0.4452298680643302, 0.464279505165063, 0.5020884839592361, 0.18382338740230147, 0.3458566259771555, 0.742170520906682, 0.3409239367707139, 0.27509758133044054, 0.2446100564437143
