word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
transliterator, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.8668133282531697, -0.9078984547785838, -1.042430206758543, -0.864817901354434, -0.6159966555470808, -0.43918252239702477, -0.4455332060710775, -0.733758299247393, -0.8155165076530086, -1.0070150930810242, -0.9919631341473459, -0.903494070907445, -0.7283640454659702, 3.853840456333129, 3.725775035790228, 4.223630054905177, 4.301388398828042, 4.557842865894251, 4.780305823056228, 5.048078647553323, 5.2960875270081855, 4.845738916474999, 5.3354021087657415, 6.265558808305961, 6.698254215619401, 7.359535201294823
transplanter, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.6052402225682842, -1.4881693631413186, -1.2273081504952024, -0.7454746876549897, -0.5207805594370116, -0.3149379333699359, -0.369998385140142, -0.7751303064268154, -0.7524447983416153, -1.058532598832131, -1.3238958852524796, -1.1449541993407868, -1.0800140522035222, 4.37647580822941, 4.15615902318372, 4.497697322428953, 4.805449278003804, 5.221386112863238, 5.153998072434085, 5.302515291788691, 5.61867411076746, 4.936241681350678, 5.635877811208354, 6.239886887952897, 5.941512457938449, 6.862096185431606
trashman, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, -0.5843858716626736, -0.7130883037489533, -0.5768828122966264, -0.7186253685965514, -0.847453723698049, -0.8394522451294846, -0.6201238852922006, -0.7108291241457864, -0.7492321236146431, -0.8208514294680442, -0.7311061525504017, -0.6848007745565432, 0.010897222376691815, 4.312816098377688, 4.541677855761916, 4.701106838398247, 4.968708851932815, 5.44156090701307, 5.59915401900611, 5.622007177319022, 5.7976052046491064, 4.9554371697267285, 5.297711268804092, 5.973129370835117, 5.942439793530911, 6.929794995399008
treasurer, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.09038427876283169, -0.16462384112314554, -0.05470832203688425, -0.26572666163555253, -0.35586816635140467, -0.19250090881007748, -0.338581950512318, -0.5493023737624798, -0.7399937446377569, -0.36174102776179123, -0.5435895990232188, -0.4723196406881555, -0.35086196294402755, 5.648706056256677, 5.680878699001893, 6.283569388521029, 6.428550132877297, 7.148189197700777, 6.85349236670594, 7.245376669925179, 7.366041103696775, 6.518086338700788, 7.184571719409898, 8.159037838013099, 8.7219659960409, 10.447199865533705
treater, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.5205457573620482, -1.2382782373446515, -1.0997880325606029, -0.7844151215864287, -0.3956764320054257, -0.11149452531748939, -0.12401433158440374, -0.14826568902819917, -0.24978952564710644, -0.32219246733504775, -0.6158416511657546, -0.4569480859512788, -0.3187181914090179, 4.204685319342168, 4.103809099331352, 4.361856093728713, 4.830549029440902, 5.222657410842935, 5.3853992214152075, 5.544256032449803, 5.7005256985406305, 4.926548435565856, 5.553969803287659, 6.215451147892496, 5.880804658543331, 5.784377283014393
treer, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.9575214051940505, -1.209744574021778, -1.1795567732257224, -0.9479740052950415, -0.46156456893759196, -0.5390032564008747, -0.49347185307375296, -0.49383437172119227, -0.612559020095231, -0.7631640778956665, -0.7778436552010717, -0.7683283523493832, -0.9078226891956545, 3.990772142972908, 4.018995156970787, 4.237105370879821, 4.689184494797676, 4.9418846629488655, 5.10826761865482, 5.248282923450917, 5.463879168229996, 5.0466345709056855, 6.041539860093548, 6.560169898987797, 6.513007213270859, 5.887675997266672
trestleman, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.5654742486218834, -0.727133155511236, -0.864403075057405, -0.8253705058576238, -0.6959071892855697, -0.9605605452985908, -0.7664131825061737, -1.079540886438742, -0.8745714560813883, -0.9659138103343281, -0.8371781975461372, -0.6909393908500714, -0.5795530540394489, 3.6926815109748103, 3.6517167755887234, 4.026921216943519, 4.182138848845197, 4.545669476737522, 4.672444035437113, 4.75589422569257, 5.144953263831732, 4.700440621743928, 5.199033098348476, 5.840624762763168, 5.68317549119571, 6.142254056413552
trichologist, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.43422803553543704, -0.5038892655896767, -0.5087324279669708, -0.7432744180130375, -0.7368917607285108, -0.7503462436626243, -0.6370258711834588, -0.8117719655548672, -0.7908951033887855, -0.9314117036059527, -1.0356935117405264, -0.8055909015272227, -1.003961200578108, 3.801240971334854, 3.8159077045811065, 4.277842324985452, 4.441839589625604, 4.776474247546154, 4.996947494560549, 5.205683735068289, 5.414637166405683, 4.9930133572591995, 5.608455104352048, 6.371126699777262, 6.226834015039204, 7.389949112852525
tripoler, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.5666043898142304, -0.7100915114725594, -0.6546281821656164, -0.4874784640944608, -0.36707097352729096, -0.3616496761384602, -0.49159305473565357, -0.7368518013952827, -0.681615050373368, -0.7515115225970503, -1.052639618640695, -0.8711643090385613, -0.6301970553555238, 3.5808107158596085, 3.4616219789137475, 3.6478017103761964, 3.8691856649635064, 4.3586362518387265, 4.590984333104945, 4.941374131903488, 5.244922816459857, 4.841366470505232, 5.36192709924604, 6.124460063482614, 6.079755206507047, 6.2819399406837375
tripper, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.6155942223676384, -0.5404918110046878, -0.5511775809400629, -0.37740973767103797, -0.5077725546841239, -0.5474525116698186, -0.45946752529202567, -0.5042575497201742, -0.6420421656740117, -0.6013311909988908, -0.7081444981134821, -0.821917004732354, -0.8725478973056525, 4.437702750761883, 4.534941386368613, 4.761036593530372, 5.056590335472643, 5.3300742914697175, 5.44340182279405, 5.511200005224303, 5.689932202615939, 4.981827515316421, 5.421684954752562, 6.381970174810753, 6.224064441978121, 7.51204370192677
