	Predictions													Projections												
answerer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.21319013	-0.230469142	-0.215598874	-0.196908139	-0.199903366	-0.164115351	-0.202247127	-0.274049783	-0.431419169	-0.332248281	-0.212643817	-0.191156553	-0.563666067
anthropologist	2	2	2	2	2	2	2	2	2	2	2	2	2	0.402042656	0.496546147	0.53904106	0.569375301	0.58909408	0.47988759	0.177432555	0.266722233	0.039651078	0.285032656	0.229727973	0.159725347	0.019759517
anthropometrist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.179603181	-0.253862639	-0.193077395	-0.233995992	-0.352194326	-0.352766114	-0.360907726	-0.442330616	-0.453948794	-0.456413782	-0.428526843	-0.042382586	-0.144909966
antiquer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.378381578	-0.364044393	-0.390044903	-0.282156289	-0.277528153	-0.26329653	-0.266831463	-0.252447633	-0.276567141	-0.152781353	-0.237048014	-0.292738196	-0.309185338
anvilsmith	1	2	2	2	2	1	1	1	1	1	1	1	1	-0.074940224	0.055645033	0.088792697	0.103676688	0.060952084	-0.095351253	-0.216087535	-0.254010166	-0.303176609	-0.419222637	-0.56343568	-0.571342349	-0.120994794
apiarist	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.112465884	-0.121774215	-0.067877925	-0.137624879	-0.134619911	-0.039301777	-0.149173983	-0.181871295	-0.210737961	-0.080672177	0.018617936	0.279820409	0.150917489
apiculturist	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.363243359	-0.31056405	-0.280140755	-0.3521277	-0.343626586	-0.330210639	-0.369889121	-0.473738939	-0.463657037	-0.388776556	-0.218559868	0.061447404	0.13187423
apn	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.260502612	-0.186180945	-0.183030404	-0.082371424	-0.125392524	-0.292221632	-0.312816859	-0.454590553	-0.366566356	-0.472122184	-0.542122071	-0.611280065	-0.571511035
apns	1	1	1	2	2	1	1	1	1	1	1	1	1	-0.104270545	-0.072829599	-0.062169356	0.07725292	0.094002014	-0.05559629	-0.041385843	-0.119987035	-0.350061386	-0.234958363	-0.361334358	-0.326551418	-0.687318034
applier	1	1	1	1	1	2	1	1	1	1	1	1	1	-0.056024924	-0.075780153	-0.115819691	-0.068587199	-0.24898241	0.026122416	-0.179226578	-0.172210458	-0.062431656	-0.074949118	0.00113801	-0.159077342	-0.082578694
appliquer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.375668806	-0.315930819	-0.430975242	-0.530125145	-0.625638495	-0.5290378	-0.500457906	-0.501731544	-0.414245495	-0.473217742	-0.345690495	-0.179175681	-0.085045625
appraiser	2	1	1	1	1	1	1	1	1	2	2	2	2	0.036766872	-0.094345924	-0.076732315	-0.230091276	-0.343188862	-0.210792829	-0.167884535	-0.157559107	-0.038942957	0.042177737	0.133895214	0.117960091	0.086194929
apprentice	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.007680061	-0.274732944	-0.284649439	-0.266002904	-0.169754099	-0.168880326	-0.433364005	-0.377256708	-0.437683878	-0.18249282	-0.098943913	0.016139897	0.036153455
approver	1	1	1	1	1	1	1	1	1	1	2	1	1	-0.13565538	-0.110794547	-0.142448295	-0.133807618	-0.209426158	-0.304132603	-0.371090966	-0.36929389	-0.34673128	-0.189312856	0.028006095	-0.010337614	-0.125523998
aprn	1	1	1	1	2	1	2	1	1	1	2	1	2	-0.200034706	-0.209751026	-0.196566872	-0.036401436	0.025179204	0.001372426	0.011282551	-0.092741805	-0.068096427	-0.092474116	0.068264461	-0.15743073	0.005135925
aquaculturist	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.277285333	-0.307580967	-0.266172509	-0.32422759	-0.284635239	-0.13897863	-0.214624625	-0.27008867	-0.324006169	-0.246451266	-0.072480927	0.138254124	0.308343142
aquarist	2	1	1	2	1	2	2	2	2	2	2	2	2	0.034979663	-0.061739782	-0.014088254	0.023214359	-0.025513186	0.15782579	0.095354203	0.144815042	0.13865433	0.257167128	0.535880267	0.613365823	0.504932693
arbitrator	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.245577748	-0.411800095	-0.365583588	-0.34492751	-0.523129935	-0.457544593	-0.444222592	-0.474837999	-0.41587612	-0.460441265	-0.108395689	0.237469949	0.489424095
arborer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.000887942	-0.083255622	-0.178277324	-0.287002722	-0.281417293	-0.609868567	-0.621365979	-0.670064464	-0.618179848	-0.589163485	-0.417380393	-0.205158903	-0.296929683
arboriculturist	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.055017817	-0.18328381	-0.210719747	-0.232743807	-0.291949903	-0.282239097	-0.343431401	-0.395973151	-0.332233438	-0.307691119	-0.127856868	0.055057484	0.315026065
arborist	2	1	1	1	1	1	1	1	1	1	1	1	1	0.020080346	-0.203048184	-0.421906961	-0.501824965	-0.478742855	-0.598778147	-0.778412571	-0.733047239	-0.55782309	-0.52987504	-0.564588279	-0.562684873	-1.020808095
archaeologist	2	2	2	1	2	2	2	2	1	2	2	2	2	0.064472683	0.008550362	0.015448012	-0.022128186	0.236790333	0.363973003	0.044559159	0.109623247	-0.130046811	0.061695067	0.053371415	0.11637596	0.196018596
archeologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.129325891	-0.195718124	-0.247350253	-0.371912354	-0.466755673	-0.455550526	-0.545880573	-0.727457652	-0.738535405	-0.643047401	-0.70511111	-0.760625258	-0.485638259
architect	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.335588718	-0.226877781	-0.391796992	-0.305750487	-0.349946004	-0.348758874	-0.418431148	-0.378753071	-0.413626617	-0.226413898	-0.387780895	-0.730109764	-0.55163488
archivist	2	1	1	1	1	1	1	1	1	1	1	2	2	0.006306373	-0.11106609	-0.158076505	-0.179717859	-0.262997046	-0.28601188	-0.332291267	-0.300991701	-0.389353812	-0.203684677	-0.025006123	0.171622264	0.216340481
arnp	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.111984295	-0.216423611	-0.34937584	-0.280457448	-0.538206214	-0.522663087	-0.685424847	-0.676828558	-0.563678534	-0.85574893	-1.137733657	-1.080647206	-1.268588393
aromatherapist	1	1	1	1	1	1	1	2	2	2	2	2	2	-0.068725579	-0.229906448	-0.280988395	-0.257028438	-0.214463276	-0.005154356	-0.075640826	0.018595585	0.089668084	0.169168722	0.412665156	0.5477203	0.740507063
assayer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.212422894	-0.237075881	-0.17111463	-0.253333469	-0.415323259	-0.329355712	-0.479950416	-0.639338885	-0.622957423	-0.593256531	-0.361584452	-0.190692795	0.149553674
assembler	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.104362861	-0.128978622	-0.083870365	-0.06669471	-0.191953642	-0.426232834	-0.645150124	-0.655067696	-0.574007715	-0.536646547	-0.313523181	0.000435932	0.098960669
assessor	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.266228571	-0.502558108	-0.438412208	-0.376257215	-0.371363194	-0.248976632	-0.352240129	-0.47374298	-0.397656954	-0.349058688	0.010729057	0.215576421	0.017679342
assigner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.058368159	-0.076059543	-0.072638342	-0.088840849	-0.131757197	-0.16963817	-0.211904463	-0.319737012	-0.490245504	-0.522556619	-0.306449385	-0.091043258	-0.659722525
assistant	2	2	2	2	2	2	2	2	1	2	2	2	2	0.192847142	0.26322634	0.297519386	0.259980833	0.20745431	0.306062123	0.334829752	0.221784559	-0.096106678	0.195723659	0.574195893	0.681955714	0.48937209
associate	2	2	2	2	2	2	2	2	1	2	2	2	2	0.167421467	0.135990261	0.205096951	0.205832478	0.160764939	0.341539719	0.308451829	0.298948469	-0.050845973	0.14365563	0.512078921	0.641974875	0.437063331
assorter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.089374292	-0.151855497	-0.081270088	-0.187594352	-0.384503595	-0.334839088	-0.300470363	-0.485068959	-0.347478678	-0.484745138	-0.373609372	-0.281777764	-0.26220993
astrobiologist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.151446693	-0.205514721	-0.250495573	-0.301922477	-0.196040349	-0.210853962	-0.22105724	-0.261807968	-0.393492312	-0.296058434	-0.14488968	0.138764582	-0.165992645
astrochemist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.217762772	-0.234291208	-0.29763848	-0.137248805	-0.151722381	-0.40441484	-0.459562627	-0.498162813	-0.5130143	-0.413608962	-0.33981856	-0.099508662	-0.549297594
attache	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.158986651	-0.200175599	-0.102566935	-0.0894249	-0.073552799	-0.035813156	-0.113233891	-0.134608256	-0.074309297	0.126298491	0.018496446	0.031886417	0.043437293
