word, gender_class_00, gender_spectrum_00, gender_relevance_00
anglesmith, 1, -0.5798696194050907, 5.765064535738382
animator, 1, -0.5677147858745243, 8.40931695332959
annealer, 1, -0.515066475227356, 6.405578677632404
announcer, 1, -0.5558931600716862, 7.929645983638201
anodiser, 1, -0.9691464114497502, 7.014208798597441
anodizer, 1, -1.1021318332100436, 6.914820683107196
answerer, 1, -0.7733665853915487, 7.338723814407054
anthropologist, 1, -0.5881089003171621, 9.31702035962874
anthropometrist, 1, -0.3969246927057028, 6.207438740328974
antiquer, 1, -0.6879998118399194, 6.3679175334699245
anvilsmith, 1, -0.6416977762688626, 6.255229250534915
apiarist, 2, 0.025612393341912135, 6.133093812390812
apiculturist, 1, -0.10112172074643137, 6.843744928701455
applier, 1, -0.33747730450592733, 7.003118337261961
appliquer, 1, -0.09591199797474484, 6.7660993968399055
appraiser, 1, -0.48519475930797895, 8.1154764669862
apprentice, 1, -0.13011698752880188, 8.73188238512208
approver, 1, -0.4959014723489517, 7.516706358039956
aquaculturist, 1, -0.09746966470250965, 7.571308450681294
aquarist, 2, 0.5261089355214713, 8.149927173727592
arbitrator, 1, -0.09127838777918662, 8.649672684266344
arborer, 1, -0.8633943895086683, 6.57369933469707
arboriculturist, 2, 0.2954238586302849, 8.3011646652037
arborist, 1, -1.5620523181628796, 8.623368545075522
archaeologist, 1, -0.11297065876651877, 9.389497045554545
archeologist, 1, -1.1475695236643646, 8.39870750768048
architect, 1, -0.8749911742035258, 9.409804034421445
archivist, 1, -1.1598295772953402, 7.427947815504091
aromatherapist, 2, 0.5232703483494722, 8.036335460440583
assayer, 1, -0.7252646088481365, 7.826444178069848
assembler, 1, -0.8622279067743158, 8.26600332931788
assessor, 1, -1.051860642772197, 6.948832642409836
assigner, 1, -0.8363225407647268, 7.596990357282399
assistant, 1, -0.7774231400656361, 9.230597180737615
associate, 1, -0.4276028638709632, 9.809870582497169
assorter, 1, -1.0165791267305622, 6.576035339316509
astrobiologist, 1, -0.711003132477167, 8.25227074183228
astrochemist, 1, -1.2044655147083925, 8.427924880935793
attache, 1, -0.3279254092913883, 8.335111313003875
attacher, 1, -0.7911079494504035, 6.833210301942964
attenuator, 1, -0.40066198946826365, 7.477917315495455
attorney, 1, -0.3752674062121294, 8.293245638117767
audiologist, 1, -0.09175185356365323, 8.276118962755532
audiometrist, 1, -0.05337392051829956, 6.914600758367653
audioprosthologist, 1, -0.564554150778651, 6.4058853832867575
auditor, 1, -0.4959430451696826, 9.239968714277545
auriculotherapist, 1, -0.026894211080356528, 7.8990750012489865
aurist, 1, -0.4226909611694678, 7.416099362319083
author, 1, -0.10008003087270748, 9.045094372659047
authorizer, 2, 0.021079339805846836, 6.352045267316723
autocutter, 1, -0.289775781480746, 6.711816755405195
autoglazier, 1, -0.7995066158432734, 6.099631052878296
autographer, 1, -0.6417589359907937, 8.284397176522987
autotransfusionist, 1, -0.3887080223499419, 7.556110825356379
aviculturist, 2, 0.04119766129786395, 8.318433494117226
babbitter, 2, 0.002279238634901732, 6.298716903278503
babysitter, 2, 0.8143643174852627, 9.075279438936082
backbreaker, 1, -0.8070832775175388, 6.273119806113934
backfiller, 1, -0.1628908889581457, 6.985121920134276
backwinder, 1, -0.6978153451298438, 7.056887196051759
baggageman, 1, -0.1672778858167991, 7.393972290728238
baggagemaster, 2, 0.2286393763826587, 9.482252473777198
bailiff, 1, -0.047408993466415944, 8.298743834005485
baker, 1, -0.35597366563368704, 8.973642947768408
balancer, 1, -1.120910496279738, 7.196388068766918
baler, 1, -1.4102551527590599, 6.5101348206491565
ballaster, 1, -0.4779106407996388, 6.2874045643353975
ballistician, 1, -0.9852760341885661, 5.842499918923299
bander, 1, -0.864793437513253, 5.862636954910224
bankman, 1, -0.44793935270367113, 6.751010329078981
barback, 1, -0.5123106045095743, 5.790425146685552
barber, 1, -0.22415972090817798, 7.860579957083116
bargeman, 1, -1.0379865856740227, 6.901303657078008
barista, 1, -0.8120318309746328, 7.891128374571278
barkeep, 1, -0.2949097176851469, 7.399888521925323
barkeeper, 2, 0.3238889466761635, 6.7871186410104904
barmaid, 2, 0.9879732614353874, 8.240547511864424
barman, 1, -0.9906813253283067, 8.033157830997089
bartacker, 1, -0.22015415675819527, 6.648754189681502
bartender, 1, -0.3398581206979441, 8.278666594715276
