word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
mfts	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.1344766659855049	-0.22043966256598851	-0.18162647705239054	-0.09172870337508435	-0.18412876032285855	-0.3956276469118384	-0.446825090551365	-0.4176466406922822	-0.18711245378132213	-0.2625019665324917	-0.25736176419812457	-0.1702899919646652	-0.28153583559175654
microfilmer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.033049427432058506	-0.21908473856359256	-0.1489794671843183	-0.12728083800309709	-0.20814355505634613	-0.3792276098489229	-0.3487218788632742	-0.3515773958891037	-0.5686305002607024	-0.6958959370720799	-0.7637133607715607	-0.7231836226830817	-0.022623884258252958
micropaleontologist	1	1	1	1	1	1	1	2	2	2	2	2	1	-0.050996884001826684	-0.08189983919909993	-0.15052033106377163	-0.172155111798841	-0.042177791955803234	-0.13056468646319097	-0.012674743907495345	0.12022987269323515	0.4493539223671964	0.4356777033455469	0.4553273287669623	0.15154646325137533	-0.04753979423623439
microscopist	1	1	1	1	1	1	1	2	2	2	2	2	2	-0.13713815696928047	-0.24729117920760904	-0.2591067328730031	-0.2003243292904505	-0.16825954791621148	-0.23700943874192704	-0.13851025478528622	0.09390932413621121	0.14114821293998986	0.24554658636367066	0.5717076015161189	0.4605248079837727	0.7082370575506445
midwife	2	2	2	2	2	2	2	2	2	2	2	1	1	0.5639024865703743	0.5527415239757639	0.6143300693558944	0.7048564996837599	0.6640698586095958	0.7275859022894428	0.6477561124865832	0.700234775648699	0.6588482862059424	0.510247255031582	0.49616591470944726	-0.17286888796762628	-0.31231929574012035
millwright	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.16559398817723198	-0.21741791424269447	-0.176959183480305	0.10767289563541503	-0.02162282138668087	-0.10876057419263846	-0.2517586242867051	-0.3973474784441272	-0.36398657485424374	-0.5019964636827678	-0.949888201049643	-1.1419395656384677	-0.9714033639290092
mimeographer	2	2	1	1	1	1	1	1	1	2	2	2	2	0.09315169217586837	0.05005218132554083	-0.039123540704787685	-0.02406392414591629	-0.004046998788081957	-0.22067485939714504	-0.23799721763522258	-0.19929850663597126	-0.06026283298217139	0.26741979083016665	0.5353339443900956	0.5436079575424206	0.658801978194182
miner	1	1	1	1	1	1	1	1	2	2	2	2	2	-0.22618463673369626	-0.29706922207483216	-0.33924340507374495	-0.3190046916054433	-0.07238451934696874	-0.23417226379001826	-0.23964210587735646	-0.015909578179742367	0.15294934337414245	0.19041433543091174	0.23591036213089622	0.5666945040050482	0.5119369351153937
minister	1	1	1	1	1	1	1	2	2	2	1	2	1	-0.6504157966380869	-0.5122694709187438	-0.49719568707058914	-0.376248497434731	-0.42171334698028967	-0.32101475384445566	-0.12216632738183394	0.2957412269192332	0.21001886319737462	0.2087908920100338	-0.05907650567123979	0.17189412671684212	-0.04175825950200074
missileman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4461152511996891	-0.39492484952690954	-0.3781370870604762	-0.3999898379232375	-0.2937347130812812	-0.3181118128559654	-0.502537394434829	-0.47883416637616055	-1.020778087808605	-0.9266894303144725	-1.3141873849681607	-1.230831009605595	-0.8180360241857791
mixologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.15682164749608302	-0.20444405017875425	-0.3097594269949595	-0.27303335026675946	-0.26926666357373946	-0.5070836708734265	-0.9363858379227978	-0.6630578227288965	-0.9815527625530982	-1.0619122243904686	-1.1372611661294756	-1.2330443539405702	-1.0661698860724396
mlt	1	1	1	1	1	1	1	1	2	1	1	1	1	-0.12933407221205995	-0.11924594235678204	-0.07936650050693533	-0.1884296436403814	-0.22732978431975537	-0.29419348613087476	-0.3824599557860484	-0.40625585486946497	0.05074566847662873	-0.1389049138281625	-0.4408315502116287	-0.08754674447393207	-0.5872247395879766
modeler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.1289900984905787	-0.05314542432117462	-0.07982020945553145	-0.2744526592393708	-0.37013138117384514	-0.48976436961331005	-0.7071990429008326	-0.6906946315038236	-0.7421783170099332	-0.7086820637392494	-0.887644906727248	-1.0120269447892074	-0.5814225709434819
